#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
'266','51630','83','26','299512217433303040',146.09369,-0.793088,39.11,0.067585,1.3e-05,'0','GALAXY','BROADLINE'
'266','51630','84','26','299512492311209984',146.09344,-1.008167,21.02,0.065891,2.3e-05,'0','GALAXY',''
'266','51630','86','26','299513042067023872',146.12796,-1.189771,13.99,0.140728,3.3e-05,'0','GALAXY',''
'266','51630','87','26','299513316944930816',146.23485,-1.152769,16.08,0.067414,5e-06,'0','GALAXY','STARBURST'
'266','51630','89','26','299513866700744704',146.07916,-1.158027,9.5,0.35079,8.2e-05,'0','GALAXY',''
'266','51630','90','26','299514141578651648',146.14358,-0.741641,20.11,0.203822,3.2e-05,'0','GALAXY',''
'266','51630','91','26','299514416456558592',146.01189,-0.975229,7.23,0.374055,8.6e-05,'0','GALAXY',''
'266','51630','93','26','299514966212372480',146.24259,-0.762618,4.24,0.300229,9e-06,'0','GALAXY','STARBURST'
'266','51630','94','26','299515241090279424',146.07944,-0.68096,30.3,0.067273,2.3e-05,'0','GALAXY',''
'266','51630','96','26','299515790846093312',146.26033,-0.940792,5.19,0.384653,0.000114,'0','GALAXY',''
'266','51630','97','26','299516065724000256',146.13557,-0.682191,16.1,0.203841,3.5e-05,'0','GALAXY',''
'266','51630','99','26','299516615479814144',146.19262,-0.688401,10.13,0.00408,5e-06,'0','GALAXY','STARBURST'
'266','51630','100','26','299516890357721088',146.00779,-0.642272,21.47,0.004776,7e-06,'16','GALAXY','STARBURST'
'266','51630','102','26','299517440113534976',146.57562,-0.291274,10.82,0.12641,3.6e-05,'0','GALAXY',''
'266','51630','103','26','299517714991441920',146.59449,-0.133174,7.3,0.045652,1.6e-05,'0','GALAXY','STARFORMING'
'266','51630','104','26','299517989869348864',146.74174,-0.524692,11.84,0.131504,1.2e-05,'0','GALAXY','STARFORMING'
'266','51630','105','26','299518264747255808',146.61904,-0.434322,18.26,0.006037,6e-06,'0','GALAXY','STARFORMING'
'266','51630','106','26','299518539625162752',146.62966,-0.465689,23.06,0.089345,1.4e-05,'0','GALAXY','AGN'
'266','51630','107','26','299518814503069696',146.49052,-0.36931,27.07,0.123199,1.4e-05,'0','GALAXY','STARFORMING'
'266','51630','108','26','299519089380976640',146.7517,-0.408392,30.26,0.035808,5e-06,'0','GALAXY','STARBURST'
'266','51630','109','26','299519364258883584',146.69572,-0.286934,30.43,0.120967,2.6e-05,'0','GALAXY',''
'266','51630','110','26','299519639136790528',146.64357,-0.331345,23.93,0.130249,2.5e-05,'0','GALAXY',''
'266','51630','111','26','299519914014697472',146.60365,-0.191493,17.89,0.121521,8e-06,'0','GALAXY','STARFORMING'
'266','51630','112','26','299520188892604416',146.63068,0.070984,15.32,0.125857,3.7e-05,'0','GALAXY',''
'266','51630','113','26','299520463770511360',146.60806,0.047679,10.74,0.092124,1.1e-05,'0','GALAXY','STARFORMING'
'266','51630','114','26','299520738648418304',146.60631,-0.213221,12.52,0.120617,1.2e-05,'0','GALAXY',''
'266','51630','115','26','299521013526325248',146.72901,0.026972,28.33,0.05666,2.2e-05,'0','GALAXY',''
'266','51630','116','26','299521288404232192',146.74794,-0.268282,14.57,0.130222,3.7e-05,'0','GALAXY',''
'266','51630','117','26','299521563282139136',146.63489,-0.192291,25.56,0.132126,3.2e-05,'0','GALAXY',''
'266','51630','119','26','299522113037953024',146.73712,-0.252183,23.01,0.130504,3.4e-05,'0','GALAXY',''
'266','51630','120','26','299522387915859968',146.66136,-0.10337,13.52,0.069341,2.2e-05,'0','GALAXY','STARFORMING'
'266','51630','121','26','299522662793766912',145.96877,-1.057783,11.71,0.290043,5.3e-05,'0','GALAXY',''
'266','51630','122','26','299522937671673856',145.84664,-1.186796,15.56,0.141718,3.5e-05,'0','GALAXY',''
'266','51630','123','26','299523212549580800',145.80475,-1.184054,15.8,0.145738,4.1e-05,'0','GALAXY',''
'266','51630','128','26','299524586939115520',145.89059,-1.097616,22.04,0.062489,8e-06,'0','GALAXY','STARFORMING'
'266','51630','129','26','299524861817022464',145.81811,-0.878951,14.8,0.204578,4e-05,'0','GALAXY',''
'266','51630','131','26','299525411572836352',145.93788,-0.733965,16.75,0.142703,1.9e-05,'0','GALAXY','STARFORMING'
'266','51630','132','26','299525686450743296',145.89232,-1.022636,22.08,0.153699,2.5e-05,'0','GALAXY',''
'266','51630','134','26','299526236206557184',145.91067,-0.669941,4.73,0.369257,0.000119,'0','GALAXY',''
'266','51630','135','26','299526511084464128',145.85318,-0.99705,18.32,0.144802,2.9e-05,'0','GALAXY',''
'266','51630','136','26','299526785962371072',145.80638,-0.547065,5.47,0.368065,0.000111,'0','GALAXY',''
